run_id,scenario,loss_percent,truth_count,detector_alerts,zeek_alerts,suricata_alerts,detector_recall_pct,zeek_recall_pct,suricata_recall_pct
20260428T013454Z,reliability-arp-mitm-dns,40,9,7,7,7,77.778,77.778,77.778
20260428T013656Z,reliability-arp-mitm-dns,40,9,5,5,5,55.556,55.556,55.556
20260428T013858Z,reliability-arp-mitm-dns,40,9,7,7,7,77.778,77.778,77.778
20260428T042025Z,reliability-arp-mitm-dns,40,9,7,7,7,77.778,77.778,77.778
20260428T042225Z,reliability-arp-mitm-dns,40,9,6,6,6,66.667,66.667,66.667
20260428T042426Z,reliability-arp-mitm-dns,40,9,7,7,7,77.778,77.778,77.778
20260428T042626Z,reliability-arp-mitm-dns,40,9,3,3,3,33.333,33.333,33.333
20260428T042829Z,reliability-arp-mitm-dns,40,8,5,5,5,62.500,62.500,62.500
20260428T043032Z,reliability-arp-mitm-dns,40,9,8,8,8,88.889,88.889,88.889
20260428T043233Z,reliability-arp-mitm-dns,40,9,6,6,6,66.667,66.667,66.667
20260428T043433Z,reliability-arp-mitm-dns,40,9,5,5,5,55.556,55.556,55.556
20260428T043634Z,reliability-arp-mitm-dns,40,8,4,4,4,50.000,50.000,50.000
20260428T120348Z,reliability-arp-mitm-dns,40,9,4,4,4,44.444,44.444,44.444
20260428T120550Z,reliability-arp-mitm-dns,40,9,4,4,4,44.444,44.444,44.444
20260428T120751Z,reliability-arp-mitm-dns,40,9,2,2,2,22.222,22.222,22.222
20260428T014059Z,reliability-arp-mitm-dns,50,9,4,4,4,44.444,44.444,44.444
20260428T014259Z,reliability-arp-mitm-dns,50,9,4,4,4,44.444,44.444,44.444
20260428T014458Z,reliability-arp-mitm-dns,50,8,5,5,5,62.500,62.500,62.500
20260428T043835Z,reliability-arp-mitm-dns,50,9,5,5,5,55.556,55.556,55.556
20260428T044036Z,reliability-arp-mitm-dns,50,8,3,3,3,37.500,37.500,37.500
20260428T044237Z,reliability-arp-mitm-dns,50,9,4,4,4,44.444,44.444,44.444
20260428T044438Z,reliability-arp-mitm-dns,50,9,4,4,4,44.444,44.444,44.444
20260428T044640Z,reliability-arp-mitm-dns,50,9,6,6,6,66.667,66.667,66.667
20260428T044841Z,reliability-arp-mitm-dns,50,9,3,3,3,33.333,33.333,33.333
20260428T045043Z,reliability-arp-mitm-dns,50,9,6,6,6,66.667,66.667,66.667
20260428T045245Z,reliability-arp-mitm-dns,50,9,5,5,5,55.556,55.556,55.556
